Product Name, Cost Price, Selling Price, Quantity, Category ID, Expiry Date
Panadol,50,70,100,1,9/15/2023
Panadol,80,100,50,2,11/30/2023
Ibuprofen,60,80,80,1,10/15/2023
Ciprofloxacin,90,120,70,2,12/31/2023
Omeprazole,120,150,60,1,11/30/2023
Diazepam,100,130,40,1,10/15/2023
Metformin,70,90,90,1012,12/31/2023
Lisinopril,110,140,50,2,11/30/2023
Atorvastatin,150,180,30,1,10/15/2023
Losartan,80,100,70,1012,12/31/2023
Simvastatin,100,130,80,1012,11/30/2023
Albuterol,70,90,60,1,10/15/2023
Levothyroxine,120,150,90,1012,12/31/2023
Warfarin,90,120,100,2,11/30/2023
Tramadol,80,100,50,1,10/15/2023
Fluoxetine,60,80,70,1012,12/31/2023
Clonazepam,110,140,40,1012,11/30/2023
Ramipril,70,90,60,1,10/15/2023
Gabapentin,100,130,70,1012,12/31/2023
